Country,traditional_mfp_growth,mfp_growth_natcap,,ATFP,2008 GDP,weighed mean,w*(xi-x')^2,sum(w*(xi-x')^2),((M-1)/M)*sum(w),weighted SD,,,,,,,,,,,,
AUS,0.92,0.88,rgdpna,0.956521739,351703.3438,1.014353465,1176.274814,31164.57199,37616467.16,0.028783366,,,,,,,,,,,,
AUT,1.43,1.44,rgdpna,1.006993007,962443.6875,,52.1416733,,,,,,,,,,,,,,,
BEL,1.32,1.32,rgdpna,1,415187.4375,,85.53772428,,,,,,,,,,,,,,,
CAN,0.38,0.42,rgdpna,1.105263158,1410245.75,,11655.078,,,,,,,,,,,,,,,
CHE,0.06,0.06,rgdpna,1,466668.2188,,96.14389507,,,,,,,,,,,,,,,
DEU,1.1,1.11,rgdpna,1.009090909,3408754,,94.40370656,,,,,,,,,,,,,,,
DNK,0.75,0.72,rgdpna,0.96,253599.2969,,749.2081791,,,,,,,,,,,,,,,
ESP,0.35,0.35,rgdpna,1,1531089.25,,315.4379885,,,,,,,,,,,,,,,
FIN,2.07,2.07,rgdpna,1,217679.25,,44.84670293,,,,,,,,,,,,,,,
FRA,1.06,1.06,rgdpna,1,2382193.5,,490.7841432,,,,,,,,,,,,,,,
GBR,1.26,1.33,rgdpna,1.055555556,2257967.75,,3833.153816,,,,,,,,,,,,,,,
IRL,2.84,2.86,rgdpna,1.007042254,225325.2656,,12.04449348,,,,,,,,,,,,,,,
ITA,0.45,0.45,rgdpna,1,2209418.5,,455.1887013,,,,,,,,,,,,,,,
JPN,1.46,1.46,rgdpna,1,4715802.5,,971.5588132,,,,,,,,,,,,,,,
KOR,3.93,3.93,rgdpna,1,1430191,,294.6507345,,,,,,,,,,,,,,,
NLD,0.95,1,rgdpna,1.052631579,755108.0625,,1106.394931,,,,,,,,,,,,,,,
NOR,1.18,1.02,rgdpna,0.86440678,397939.9063,,8947.284169,,,,,,,,,,,,,,,
NZL,0.68,0.66,rgdpna,0.970588235,133398.1719,,255.5102314,,,,,,,,,,,,,,,
PRT,1.29,1.29,rgdpna,1,273277.25,,56.30111114,,,,,,,,,,,,,,,
SWE,1.03,1.03,rgdpna,1,388252.375,,79.98851026,,,,,,,,,,,,,,,
USA,1.03,1.05,rgdpna,1.019417476,15311046,,392.6396533,,,,,,,,,,,,,,,
